user,session_id,timestamp,transaction
U770487,S126225,1665871214,A
U770487,S198246,1648324960,B
U770487,S717889,1650322553,A
U770487,S456778,1650312309,B
U770487,S476417,1669426490,A
U705397,S838797,1643321917,A
U705397,S183667,1669688765,A
U705397,S319684,1663476574,A
U705397,S817870,1651869142,B
U705397,S944151,1651574449,B
U705397,S665158,1649806687,B
U705397,S680099,1669870999,B
U705397,S887352,1649942739,B
U982554,S632323,1661422612,A
U982554,S612340,1641641886,B
U982554,S352572,1670452001,A
U982554,S559381,1671175949,B
U982554,S639131,1648975359,A
U982554,S299659,1644153451,B
U982554,S589710,1669973572,A
U982554,S522179,1665424453,A
U982554,S179046,1655858875,A
U982554,S922157,1667334696,B
U982554,S627276,1671839518,A
U982554,S539589,1663048996,A
U982554,S663750,1648142884,A
U982554,S221035,1670842009,B
U982554,S734210,1648056928,A
U982554,S908577,1645378606,A
U982554,S137778,1668994218,A
U982554,S799330,1644438604,A
U982554,S941204,1663467451,A
U982554,S956253,1671808098,A
U982554,S128941,1644859659,B
U982554,S221263,1653916240,B
U521947,S410016,1659591639,B
U521947,S415568,1654616367,A
U521947,S796101,1662228126,A
U521947,S254739,1663001686,A
U521947,S329471,1646893076,A
U521947,S879779,1669897028,A
U521947,S184491,1645631697,A
U521947,S527398,1652092783,B
U521947,S938722,1661230524,A
U521947,S801364,1663778510,A
U521947,S152727,1649718950,B
U521947,S466960,1648511707,B
U521947,S979995,1641675409,A
U521947,S515922,1664980649,A
U521947,S464069,1658865529,B
U521947,S869440,1658496534,A
U521947,S572700,1649173021,A
U521947,S641722,1647399224,A
U521947,S894993,1649054672,A
U521947,S882169,1659457376,B
U521947,S300845,1648250333,B
U521947,S157174,1659557004,B
U521947,S293319,1642712628,A
U521947,S950544,1659875257,A
U411797,S717113,1655377668,A
U411797,S282256,1659509835,A
U411797,S822858,1660914666,B
U411797,S966785,1645760854,B
U411797,S402630,1655723880,B
U411797,S624783,1659108233,A
U411797,S142185,1666594554,A
U411797,S765620,1668312290,B
U411797,S192337,1651543111,A
U411797,S643623,1653130009,A
U411797,S197736,1648527842,B
U411797,S851413,1650784031,B
U411797,S380150,1668521123,B
U411797,S978157,1660685836,B
U411797,S880879,1656860544,B
U411797,S857537,1645827102,B
U411797,S747453,1643284622,B
U411797,S827712,1651036457,B
U411797,S934816,1642872742,A
U411797,S283573,1643640372,A
U411797,S579027,1669352994,B
U411797,S833247,1650894355,A
U411797,S108491,1659977464,A
U411797,S973294,1671327398,A
U411797,S926918,1655779592,A
U411797,S867934,1645397824,B
U411797,S310548,1645425002,A
U411797,S929090,1654227765,A
U411797,S229592,1656249927,A
U835132,S780776,1654688203,A
U835132,S616554,1644884961,A
U835132,S575679,1653439295,B
U835132,S163491,1654348001,A
U835132,S925206,1659933289,B
U835132,S390743,1669792096,B
U835132,S238205,1641487815,B
U835132,S570050,1667095010,B
U835132,S988456,1654465867,B
U835132,S726410,1658791899,B
U835132,S339592,1654874714,A
U195656,S189511,1644119066,A
U195656,S729575,1651474079,B
U195656,S899649,1650338264,B
U195656,S196214,1666025617,A
U195656,S564637,1663201242,B
U195656,S147623,1648388516,A
U195656,S284229,1645323838,A
U195656,S550137,1660229878,B
U195656,S717476,1654427247,B
U195656,S253557,1649577752,B
U195656,S570711,1663845758,B
U195656,S486649,1668896826,A
U195656,S949153,1660170792,A
U195656,S849014,1643820028,A
U195656,S445705,1644160969,A
U195656,S952686,1645278229,A
U195656,S632351,1666856076,B
U195656,S888939,1666107811,A
U195656,S956572,1647691827,A
U195656,S466566,1672209485,A
U195656,S515712,1657833672,A
U195656,S400814,1671772739,B
U195656,S415779,1645076587,B
U195656,S769989,1667630058,A
U195656,S796643,1663409956,B
